"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"China","Beach litter originating from national land-based sources ends in the Ocean","2017","22.1","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2018","18.8","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2019","15.8","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2020","15.2","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2021","21.7","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2022","17","M","A","2023-10-08","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2017","14.3","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2018","10.5","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2019","9.6","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2020","16.4","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2021","13.3","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2022","17.5","M","A","2023-10-08","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2017","36.8","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2018","39.3","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2019","39.1","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2020","42.3","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2021","40","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2022","40.2","M","A","2023-10-08","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2017","2.2","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2018","1.2","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2019","0.4","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2020","1.9","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2021","1.5","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2022","0.4","M","A","2023-10-08","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2017","30.6","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2018","27.8","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2019","29.7","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2020","31","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2021","28","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2022","30.1","M","A","2023-10-08","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2017","0","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2018","1.4","M","A","2022-02-02","-","-"
