Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2022,165.0,C,A,2024-03-04,-,file,Europe
United Republic of Tanzania,Beach litter count per km2 of coastline,2016,41173752.7,E,A,2022-05-19,-,-,Africa
United Republic of Tanzania,Beach litter count per km2 of coastline,2017,14546454.4,E,A,2022-05-19,-,-,Africa
United Republic of Tanzania,Beach litter count per km2 of coastline,2018,88634.8,E,A,2022-05-19,-,-,Africa
United Republic of Tanzania,Beach litter count per km2 of coastline,2021,177780.4,E,A,2024-04-30,-,-,Africa
United Republic of Tanzania,Beach litter count per km2 of coastline,2022,265293.0,E,A,2024-04-30,-,-,Africa
United States of America,Beach litter count per km2 of coastline,2015,7717.4,E,A,2022-05-19,-,-,North America
United States of America,Beach litter count per km2 of coastline,2016,203850.8,E,A,2022-05-19,-,-,North America
United States of America,Beach litter count per km2 of coastline,2017,214112.0,E,A,2022-05-19,-,-,North America
United States of America,Beach litter count per km2 of coastline,2018,119955.6,E,A,2022-05-19,-,-,North America
United States of America,Beach litter count per km2 of coastline,2019,1510.1,E,A,2022-05-19,-,-,North America
United States of America,Beach litter count per km2 of coastline,2021,5085658.1,E,A,2024-04-30,-,-,North America
United States of America,Beach litter count per km2 of coastline,2022,221825.4,E,A,2024-04-30,-,-,North America
Uruguay,Beach litter count per km2 of coastline,2016,560363.3,E,A,2022-05-19,-,-,South America
Uruguay,Beach litter count per km2 of coastline,2017,483382.4,E,A,2022-05-19,-,-,South America
Uruguay,Beach litter count per km2 of coastline,2018,244068.9,E,A,2022-05-19,-,-,South America
Uruguay,Beach litter count per km2 of coastline,2021,279727.0,E,A,2024-04-30,-,-,South America
Uruguay,Beach litter count per km2 of coastline,2022,71546.8,E,A,2024-04-30,-,-,South America
Vanuatu,Beach litter count per km2 of coastline,2016,535071.4,E,A,2022-05-19,-,-,Oceania
Vanuatu,Beach litter count per km2 of coastline,2017,684594.1,E,A,2022-05-19,-,-,Oceania
Vanuatu,Beach litter count per km2 of coastline,2018,696651.1,E,A,2022-05-19,-,-,Oceania
Vanuatu,Beach litter count per km2 of coastline,2021,78610.6,E,A,2024-04-30,-,-,Oceania
Vanuatu,Beach litter count per km2 of coastline,2022,1102307.6,E,A,2024-04-30,-,-,Oceania
Venezuela (Bolivarian Republic of),Beach litter count per km2 of coastline,2016,1614655.7,E,A,2022-05-19,-,-,South America
Venezuela (Bolivarian Republic of),Beach litter count per km2 of coastline,2017,2192921.4,E,A,2022-05-19,-,-,South America
Venezuela (Bolivarian Republic of),Beach litter count per km2 of coastline,2018,2108749.8,E,A,2022-05-19,-,-,South America
Venezuela (Bolivarian Republic of),Beach litter count per km2 of coastline,2021,745847.0,E,A,2024-04-30,-,-,South America
Venezuela (Bolivarian Republic of),Beach litter count per km2 of coastline,2022,457625.0,E,A,2024-04-30,-,-,South America
Viet Nam,Beach litter count per km2 of coastline,2016,3446295.9,E,A,2022-05-19,-,-,Asia
Viet Nam,Beach litter count per km2 of coastline,2017,2302819.1,E,A,2022-05-19,-,-,Asia
Viet Nam,Beach litter count per km2 of coastline,2018,3492480.0,E,A,2022-05-19,-,-,Asia
Viet Nam,Beach litter count per km2 of coastline,2021,199092.4,E,A,2024-04-30,-,-,Asia
Viet Nam,Beach litter count per km2 of coastline,2022,165575.7,E,A,2024-04-30,-,-,Asia
