"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2018","41","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2019","43","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2020","29","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2021","37","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2022","35","M","A","2023-10-08","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2017","742","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2018","632","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2019","467","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2020","896","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2021","714","M","A","2022-02-02","-","-"
"Djibouti","Beach litter originating from national land-based sources ends in the Ocean","2022","791","M","A","2023-10-08","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2017","317","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2018","316","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2019","303","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2020","353","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2021","364","M","A","2022-02-02","-","-"
"Dominica","Beach litter originating from national land-based sources ends in the Ocean","2022","386","M","A","2023-10-08","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2017","40927","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2018","42248","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2019","43360","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2020","53214","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2021","55594","M","A","2022-02-02","-","-"
"Dominican Republic","Beach litter originating from national land-based sources ends in the Ocean","2022","59858","M","A","2023-10-08","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2017","198","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2018","267","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2019","357","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2020","150","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2021","49","M","A","2022-02-02","-","-"
"Ecuador","Beach litter originating from national land-based sources ends in the Ocean","2022","69","M","A","2023-10-08","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2017","17502","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2018","41101","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2019","51536","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2020","41062","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2021","41213","M","A","2022-02-02","-","-"
"Egypt","Beach litter originating from national land-based sources ends in the Ocean","2022","25483","M","A","2023-10-08","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2017","9905","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2018","10857","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2019","11391","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2020","10288","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2021","10105","M","A","2022-02-02","-","-"
"El Salvador","Beach litter originating from national land-based sources ends in the Ocean","2022","9486","M","A","2023-10-08","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2017","75","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2018","78","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2019","68","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2020","82","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2021","196","M","A","2022-02-02","-","-"
"Equatorial Guinea","Beach litter originating from national land-based sources ends in the Ocean","2022","149","M","A","2023-10-08","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2017","612","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2018","797","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2019","242","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2020","854","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2021","305","M","A","2022-02-02","-","-"
"Eritrea","Beach litter originating from national land-based sources ends in the Ocean","2022","414","M","A","2023-10-08","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2017","7","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2018","7","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2019","20","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2020","3","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2021","26","M","A","2022-02-02","-","-"
"Estonia","Beach litter originating from national land-based sources ends in the Ocean","2022","19","M","A","2023-10-08","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2017","766","M","A","2022-02-02","-","-"
